"enrollment","scenario","pmp","ind1.rr0","ind1.rr1","ind2.rr0","ind2.rr1","ind3.rr0","ind3.rr1","ind4.mu0","ind4.mu1","ind4.sd0","ind4.sd1","PE.pm1","PE.pm2","PE.pm3","PE.pm4","PE.pp1","PE.pp2","PE.pp3","PE.pp4","HT.eff1","HT.eff2","HT.eff3","HT.eff4","HT.fut1","HT.fut2","HT.fut3","HT.fut4","HT.ind1","HT.ind2","HT.ind3","HT.ind4","HT.fwer","HT.ncr","SS.ave1","SS.ave2","SS.ave3","SS.ave4","SS.med1","SS.med2","SS.med3","SS.med4","SS.min1","SS.min2","SS.min3","SS.min4","SS.max1","SS.max2","SS.max3","SS.max4","DR.ave1","DR.ave2","DR.ave3","DR.ave4","DR.med1","DR.med2","DR.med3","DR.med4","DR.min1","DR.min2","DR.min3","DR.min4","DR.max1","DR.max2","DR.max3","DR.max4"
1,1,1,0.1,0.1,0.23,0.23,0.1,0.1,0,0,1,1,0.0496103954032318,0.0324035644482542,0.0401939439226901,0.0579756298467083,0.583720874688193,0.574270114958196,0.583751358767546,0.571950949923004,0.029295,0.02473,0.02798,0.023765,0.073675,0.501105,0.40243,0.535365,0.89703,0.474165,0.56959,0.44087,0.10164,0,23.87711,48.489,31.708425,66.128105,24,57,34,74,12,29,17,40,24,58,34,80,20.5684892329584,37.5498467162099,25.5646869094927,48.5522996215047,20.3545038590098,37.3499622613882,25.3605094418704,48.3583265005743,9.0110777775317,22.01605749618,13.6207726985232,28.5085777038101,39.2548666118388,59.4281311515711,45.3037733424642,73.5149470750958
1,1,2,0.1,0.1,0.23,0.23,0.1,0.1,0,0,1,1,0.00474680318777192,0.000498595189516834,0.00270846679212565,0.000173061041432066,0.505618039905951,0.497255789452376,0.501750536917513,0.497768391033987,0.00615,0.004515,0.004785,0.00397,0.093975,0.652625,0.520815,0.685385,0.899875,0.34286,0.4744,0.310645,0.01862,0,23.841475,45.14196,30.96468,61.266075,24,43,33,59,12,29,17,40,24,58,34,80,20.5618545362105,37.5796095888987,25.5674497704488,48.5623905356388,20.3537162589355,37.3802120477536,25.3610205965236,48.3546195371599,9.68971587458477,20.6082437328684,13.7476641177241,29.9686423565304,37.7747107034994,63.9595801700898,45.2403867095988,72.9990344777071
1,1,3,0.1,0.1,0.23,0.23,0.1,0.1,0,0,1,1,0.0517282063440371,0.0343265309871936,0.0424356404854656,0.0607061776339948,0.587856664998581,0.579706010200407,0.589896109775639,0.575895412821816,0.0344,0.027505,0.0337,0.0244,0.071765,0.486525,0.38808,0.526895,0.893835,0.48597,0.57822,0.448705,0.11337,0,23.880735,48.78368,31.81352,66.421885,24,58,34,75,12,29,17,40,24,58,34,80,20.5548793327339,37.5644546221077,25.5607947263834,48.5661781513226,20.3380189086009,37.3757445369874,25.3548904127687,48.3961671634357,9.51626216762079,22.0576587676447,13.293273346628,28.7531534072599,37.5818901972848,65.2358441646342,44.2795061073719,78.1336400296742
1,1,4,0.1,0.1,0.23,0.23,0.1,0.1,0,0,1,1,0.0321593285716454,0.0201500602024642,0.0260108604257029,0.0350840880519214,0.550581855176308,0.542567097043972,0.55041768675062,0.540824917224282,0.017085,0.01557,0.017495,0.013825,0.081105,0.563075,0.45326,0.59699,0.90181,0.421355,0.529245,0.389185,0.06246,0,23.86446,47.10415,31.404065,64.157225,24,48,34,67,12,29,17,40,24,58,34,80,20.5515771448746,37.5452739155579,25.5605644856462,48.5336382210076,20.3311549655471,37.3688168806616,25.3459331836548,48.3490771244615,10.0768574569969,21.0933305225528,13.8476342339402,29.243906601977,40.9893625467377,61.7926520323435,47.1631411320841,75.9558716578052
1,1,5,0.1,0.1,0.23,0.23,0.1,0.1,0,0,1,1,-0.000266231403339524,-0.0175922629501561,-0.0027342634385621,-0.0411686796583943,0.273314584693487,0.464785862734565,0.322799617962875,0.470942292542873,0.00226,0.02775,0.004445,0.02377,0.123835,0.630085,0.66335,0.653095,0.873905,0.342165,0.332205,0.323135,0.057265,0,23.78987,45.587015,30.03114,62.26791,24,44,32,61,12,29,17,40,24,58,34,80,20.5541447278443,37.567731655606,25.5519777595604,48.5650916336116,20.3395712136231,37.3626231106323,25.3446069060572,48.3822178739766,9.20813758740796,21.491311858369,12.8706334273977,30.3023408142642,39.3206243320179,58.9838147593447,43.5703491980562,73.8987814021641
1,1,6,0.1,0.1,0.23,0.23,0.1,0.1,0,0,1,1,-0.000122472905298421,-0.018025676274602,-0.00279328961142172,-0.040283741891667,0.273666165106314,0.464178732986895,0.322917918994433,0.47174335721392,0.01717,0.090955,0.030095,0.08581,0.12358,0.62938,0.66553,0.653105,0.85925,0.279665,0.304375,0.261085,0.207675,0,23.79056,45.58099,30.01118,62.254195,24,44,31,61,12,29,17,40,24,58,34,80,20.5570106108083,37.5506166067595,25.5678597846264,48.5842896288286,20.3413859524942,37.3737904835687,25.3701428953141,48.4017843620569,9.8827676801258,22.0051471934538,13.2684626576019,29.698268354459,38.4445215131388,64.0995105424934,45.9342531187667,74.8563963622767
1,2,1,0.1,0.1,0.23,0.23,0.1,0.1,0,0.5,1,1,0.0495872972946738,0.032625904581271,0.0403951143409425,0.47505714347801,0.583375526737828,0.574973334957775,0.584605110137152,0.973661544972348,0.02926,0.02545,0.02823,0.793425,0.07365,0.498925,0.40105,0.013405,0.89709,0.475625,0.57072,0.19317,0.080695,0.793425,23.876935,48.508625,31.7184,79.607615,24,58,34,80,13,29,17,40,24,58,34,80,20.5695157408916,37.5690301636834,25.5748447041518,48.5633089035991,20.3546946301984,37.3772917465339,25.3563218034031,48.3738075116068,10.040274701137,22.1176780370083,12.2477277971439,29.048389241076,38.4654777138785,63.4084802774056,45.5016161427363,75.3776767746649
1,2,2,0.1,0.1,0.23,0.23,0.1,0.1,0,0.5,1,1,0.0185133700710984,0.011099749157399,0.0139990802593922,0.360964895304082,0.529135192159332,0.522701732816888,0.525780003596549,0.910917604535647,0.01531,0.011405,0.01326,0.44716,0.08769,0.619185,0.49293,0.06942,0.897,0.36941,0.49381,0.48342,0.03524,0.44716,23.852475,45.83131,31.14992,77.90913,24,45,34,80,13,29,17,40,24,58,34,80,20.5589378898979,37.5727753904511,25.5545553457104,48.5376406831058,20.3475388921162,37.3792994446428,25.349098654047,48.3491482049466,9.50401111291,21.0836685327466,13.5168560762932,30.2536203676192,38.239527582366,61.3277948407104,48.0024806595263,76.0644445757113
1,2,3,0.1,0.1,0.23,0.23,0.1,0.1,0,0.5,1,1,0.0552910892147962,0.037524106451267,0.0448567767669554,0.476694713239746,0.595288819340884,0.588725631797416,0.596091777097045,0.975052300965088,0.039255,0.03107,0.036635,0.80168,0.06935,0.47446,0.378655,0.01183,0.891395,0.49447,0.58471,0.18649,0.10009,0.80168,23.886015,49.05179,31.86845,79.652305,24,58,34,80,12,29,17,40,24,58,34,80,20.5470827349343,37.567396202212,25.5620197840879,48.5676098238266,20.3359088429442,37.3886883947058,25.3506857851565,48.385474230692,9.71981549019185,22.2122730111488,13.256995129426,29.7816348564003,38.7874153356306,60.4066712082156,44.889687972519,78.0035984604586
1,2,4,0.1,0.1,0.23,0.23,0.1,0.1,0,0.5,1,1,0.0322094838409811,0.0203205411449613,0.0258399743731774,0.458906424234418,0.550939680570327,0.543106209065431,0.549985938903959,0.962215339893076,0.016565,0.016095,0.01716,0.725065,0.080945,0.56263,0.452565,0.02266,0.90249,0.421275,0.530275,0.252275,0.04899,0.725065,23.86319,47.112735,31.403145,79.32615,24,49,34,80,12,29,17,40,24,58,34,80,20.5608374921557,37.5598456372428,25.5502909221525,48.559802289922,20.3457009503994,37.3639667474496,25.3485007499041,48.3866406280109,9.18712190859542,21.3669704393841,12.3445061612585,29.3253144875125,41.4247011986264,62.1417266798853,45.8052518575121,72.922549061651
1,2,5,0.1,0.1,0.23,0.23,0.1,0.1,0,0.5,1,1,-0.000143846669145213,-0.0177681631861737,-0.00264651786403223,0.481473489507493,0.273647738099231,0.464865358155559,0.322713018678389,0.920081118821324,0.00224,0.027645,0.004445,0.586825,0.12353,0.62905,0.66499,0.074535,0.87423,0.343305,0.330565,0.33864,0.034105,0.586825,23.791805,45.60873,30.017325,77.765205,24,44,32,80,12,29,17,40,24,58,34,80,20.5474830722054,37.5560083772256,25.5570796763132,48.5622332713298,20.3269408878157,37.3650855900895,25.3432812241127,48.367985506297,9.88965238404923,21.5960117025035,13.4248247704977,28.7272828692786,39.1015068698638,60.4172549490906,45.9069973129239,75.3071053290115
1,2,6,0.1,0.1,0.23,0.23,0.1,0.1,0,0.5,1,1,6.60528538975363e-06,-0.0177635032410531,-0.00260120000197074,0.481920949793954,0.274843370868955,0.464613103570434,0.32277114049195,0.920452397794057,0.016935,0.09169,0.030975,0.7935,0.124795,0.629145,0.664835,0.07389,0.85827,0.279165,0.30419,0.13261,0.134755,0.7935,23.78716,45.581905,30.01286,77.780775,24,44,31,80,12,29,17,40,24,58,34,80,20.558895975265,37.5530198125194,25.5477944287532,48.5511859275279,20.3405231832768,37.3622797976404,25.3458577138285,48.3644014952692,10.3240349198,20.9370830106262,12.8694185856462,29.5424607094731,40.9574779278867,61.4081595376192,46.2776366483672,74.671731833325
